reformas de baños;1;1;0;1900;2.02;http://fotos.habitissimo.es/reformas-banos;1.50;2.85;0.84;1040000;0.66,0.55,0.66,0.45,0.34,0.45,0.55,0.55,0.83,0.55,0.99,0.99
microcemento precio;1;1;0;880;1.59;http://precio.habitissimo.es/microcemento;0.69;1.03;0.90;374000;0.99,0.77,0.77,0.45,0.37,0.68,0.68,0.77,0.77,0.68,0.68,0.77
casas pequeñas;1;1;0;880;0.25;http://www.habitissimo.es/ideas/casas-pequenas-con-mucho-estilo;0.69;0.16;0.13;19700000;0.68,0.55,0.68,0.55,0.55,0.68,0.68,0.68,0.68,0.55,0.99,0.99
grohe;11;12;1;8100;0.02;http://www.habitissimo.es/grohe;0.64;0.01;0.11;15500000;0.99,0.81,0.99,0.81,0.99,0.67,0.99,0.99,0.99,0.81,0.99,0.99
reformas baños;1;1;0;720;1.75;http://fotos.habitissimo.es/reformas-banos;0.57;0.93;0.83;938000;0.99,0.82,0.99,0.82,0.67,0.67,0.82,0.82,0.99,0.82,0.99,0.99
baños con ducha;1;4;3;590;0.84;http://fotos.habitissimo.es/reformas-banos;0.46;0.36;0.37;23000000;0.59,0.48,0.48,0.48,0.48,0.48,0.72,0.72,0.59,0.48,0.99,0.88
empresas de reformas;1;2;1;590;3.13;http://www.habitissimo.es/empresas/reformas;0.46;1.37;0.94;45200000;0.82,0.82,0.82,0.67,0.82,0.54,0.67,0.82,0.82,0.67,0.82,0.99
copitima;11;10;-1;5400;0.00;http://www.habitissimo.es/certificaciones/copitima;0.42;0.00;0.00;3000;0.99,0.82,0.99,0.99,0.99,0.67,0.82,0.99,0.82,0.82,0.82,0.82
maison decor;2;2;0;1900;0.35;http://www.habitissimo.es/maison-decor;0.41;0.13;0.21;5060000;0.99,0.67,0.79,0.67,0.79,0.79,0.99,0.99,0.99,0.79,0.99,0.79
expomobi;10;10;0;8100;0.22;http://www.habitissimo.es/muebles-expo-mobi;0.40;0.08;0.06;58000;0.82,0.82,0.99,0.82,0.82,0.67,0.67,0.67,0.67,0.45,0.67,0.45
marcas de colchones;1;1;0;480;0.82;http://www.habitissimo.es/marcas/colchones;0.38;0.29;0.80;750000;0.81,0.81,0.81,0.66,0.81,0.99,0.99,0.99,0.99,0.66,0.99,0.99
cuanto cuesta tapizar un sofa;1;1;0;480;0.21;http://precio.habitissimo.es/tapizar-sofa;0.38;0.07;0.52;6000;0.67,0.44,0.54,0.54,0.44,0.44,0.67,0.67,0.82,0.67,0.99,0.82
profiltek;7;6;-1;5400;0.30;http://www.habitissimo.es/profiltek;0.36;0.10;0.08;118000;0.82,0.82,0.82,0.82,0.99,0.55,0.99,0.99,0.99,0.67,0.82,0.99
gaston y daniela;11;11;0;4400;0.62;http://www.habitissimo.es/gaston-y-daniela;0.34;0.20;0.13;909000;0.81,0.67,0.81,0.67,0.67,0.67,0.99,0.99,0.81,0.67,0.99,0.99
ikea hackers;4;4;0;2900;0.00;http://www.habitissimo.es/ideas/19-mejores-hacks-ikea;0.34;0.00;0.00;717000;0.66,0.66,0.55,0.99,0.66,0.82,0.82,0.66,0.66,0.55,0.82,0.66
azulejos peña;9;9;0;6600;0.22;http://www.habitissimo.es/azulejos-pena;0.33;0.06;0.10;373000;0.99,0.81,0.81,0.81,0.81,0.54,0.81,0.81,0.81,0.54,0.81,0.99
tapizar sofa precio;1;1;0;390;0.25;http://precio.habitissimo.es/tapizar-sofa;0.30;0.07;0.85;133000;0.44,0.44,0.44,0.44,0.54,0.66,0.66,0.66,0.81,0.66,0.99,0.81
imagenes de piscinas;1;1;0;390;0.97;http://fotos.habitissimo.es/construccion-piscinas;0.30;0.28;0.39;805000;0.36,0.30,0.44,0.99,0.82,0.67,0.30,0.19,0.19,0.16,0.24,0.24
precio microcemento;1;1;0;390;1.29;http://precio.habitissimo.es/microcemento;0.30;0.37;0.90;374000;0.99,0.82,0.82,0.82,0.99,0.82,0.99,0.99,0.99,0.82,0.99,0.99
tapiceros;1;2;1;390;0.22;http://www.habitissimo.es/presupuestos/tapiceros;0.30;0.06;0.73;498000;0.81,0.66,0.54,0.44,0.54,0.54,0.66,0.66,0.81,0.66,0.99,0.81
microcemento precio m2;1;1;0;390;1.52;http://precio.habitissimo.es/microcemento;0.30;0.44;0.91;118000;0.67,0.54,0.81,0.99,0.44,0.54,0.99,0.99,0.81,0.44,0.54,0.99
schuco;3;3;0;1900;1.36;http://www.habitissimo.es/schuco;0.28;0.36;0.09;1690000;0.79,0.79,0.79,0.79,0.67,0.42,0.79,0.99,0.99,0.79,0.79,0.79
fotos de cocinas;2;2;0;1300;0.75;http://fotos.habitissimo.es/reformas-cocinas;0.28;0.20;0.40;2330000;0.99,0.62,0.62,0.55,0.62,0.62,0.62,0.81,0.81,0.62,0.99,0.99
baeza sa;4;4;0;2400;2.04;http://www.habitissimo.es/baeza-sa-granada;0.28;0.54;0.01;607000;0.99,0.99,0.99,0.99,0.99,0.66,0.66,0.83,0.83,0.55,0.55,0.66
coaatmu;4;4;0;2400;0.00;http://www.habitissimo.es/certificaciones/colegiado-coaatmu;0.28;0.00;0.00;9000;0.99,0.99,0.83,0.83,0.83,0.34,0.83,0.83,0.66,0.66,0.66,0.66
precio reforma baño;1;1;0;320;1.74;http://precio.habitissimo.es/reformas-banos;0.25;0.41;0.85;7930000;0.82,0.67,0.67,0.67,0.67,0.54,0.67,0.67,0.82,0.67,0.99,0.99
fotos de chimeneas;1;1;0;320;0.28;http://fotos.habitissimo.es/chimeneas;0.25;0.06;0.20;906000;0.44,0.28,0.28,0.19,0.19,0.19,0.28,0.36,0.99,0.99,0.99,0.81
presupuesto reforma;1;2;1;320;4.00;http://www.habitissimo.es/presupuestos/reformas;0.25;0.95;0.91;39600000;0.99,0.66,0.54,0.54,0.44,0.28,0.44,0.54,0.66,0.54,0.66,0.54
precio tapizar sofa;1;1;0;320;0.17;http://precio.habitissimo.es/tapizar-sofa;0.25;0.04;0.59;133000;0.67,0.44,0.54,0.54,0.54,0.67,0.82,0.82,0.99,0.82,0.99,0.99
marcas de lavadoras;1;1;0;320;0.32;http://www.habitissimo.es/marcas/lavadora;0.25;0.07;0.42;1240000;0.67,0.67,0.67,0.54,0.67,0.67,0.67,0.67,0.81,0.67,0.99,0.81
reforma de baños;1;1;0;320;1.83;http://fotos.habitissimo.es/reformas-banos;0.25;0.43;0.82;13100000;0.99,0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.67,0.54,0.82,0.99
duchas de obra fotos;1;1;0;320;0.53;http://fotos.habitissimo.es/foto/plato-de-ducha-de-obra-con-piedra-natural_211841;0.25;0.12;0.73;393000;0.67,0.67,0.54,0.44,0.44,0.81,0.99,0.99,0.54,0.23,0.35,0.67
arboles de navidad originales;3;3;0;1600;0.00;http://www.habitissimo.es/ideas/arboles-de-navidad-creativos-y-originales;0.24;0.00;0.03;329000;0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.16,0.99,0.82,0.04,0.02
technal;7;7;0;3600;0.38;http://www.habitissimo.es/technal;0.24;0.08;0.07;386000;0.82,0.66,0.82,0.66,0.66,0.36,0.82,0.82,0.99,0.66,0.82,0.82
tarkett;4;4;0;1900;0.60;http://www.habitissimo.es/tarkett;0.22;0.12;0.13;1300000;0.99,0.79,0.99,0.99,0.79,0.67,0.79,0.99,0.99,0.79,0.99,0.99
casas prefabricadas precios;10;10;0;4400;0.28;http://precio.habitissimo.es/construccion-casas-
